municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-15,2024-11-12,0.7,17.45,-14.53,56.65,6.23,87.8971271560144,27.70300872309712
1008,2024-11-15,2024-11-12,0.02,20.2,-11.7,60.44,4.83,87.94650761740047,27.4760167182262
3004,2024-11-15,2024-11-12,0.23,25.35,8.33,77.87,3.68,87.90869872633574,26.9313601153792
3005,2024-11-15,2024-11-12,0.0,26.73,14.64,76.74,4.73,87.86804078949658,26.766798991811797
3008,2024-11-15,2024-11-12,0.11,24.51,14.64,76.41,3.53,88.07073522457357,26.80309155406488
3010,2024-11-15,2024-11-12,0.39,24.51,8.33,79.47,3.64,88.06861487878045,26.890689792229505
5016,2024-11-15,2024-11-12,0.0,27.95,16.93,77.44,7.28,87.55469563773501,26.481414393367597
6003,2024-11-15,2024-11-12,0.0,27.48,17.36,79.06,7.75,87.09771116866489,26.59183604433034
6007,2024-11-15,2024-11-12,0.0,27.98,17.15,77.9,8.17,87.19672555619026,26.560678557062
8001,2024-11-15,2024-11-12,1.05,20.2,8.49,79.06,3.56,87.66115158270199,27.214301572974936
8003,2024-11-15,2024-11-12,0.12,22.76,8.49,85.46,3.76,87.44812726483543,27.127990823175782
8006,2024-11-15,2024-11-12,1.28,19.95,8.49,84.54,3.73,87.58461013054594,27.180400656497696
10009,2024-11-15,2024-11-12,0.97,20.38,8.05,87.41,3.0,86.96602803573023,27.210508417866347
9002,2024-11-15,2024-11-12,0.03,22.91,5.96,78.91,2.79,87.36132449479186,27.30526087303312
9005,2024-11-15,2024-11-12,0.0,22.91,14.45,73.41,2.74,87.19300808673226,27.399039264555437
9007,2024-11-15,2024-11-12,0.1,15.91,-15.04,50.14,5.13,87.22505005780839,27.68477497975171
9009,2024-11-15,2024-11-12,0.0,22.91,4.24,69.73,3.95,87.36166113467456,27.44750334933956
55003,2024-11-15,2024-11-12,0.0,21.79,9.66,76.94,4.53,82.2912715867,28.355548724394996
