municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-13,2024-11-12,2.26,16.75,-17.42,58.52,5.92,87.8971271560144,27.70300872309712
1008,2024-11-13,2024-11-12,0.25,19.93,-15.14,65.07,4.82,87.94650761740047,27.4760167182262
3004,2024-11-13,2024-11-12,2.09,24.4,8.19,82.48,3.86,87.90869872633574,26.9313601153792
3005,2024-11-13,2024-11-12,0.82,26.9,14.28,77.91,4.84,87.86804078949658,26.766798991811797
3008,2024-11-13,2024-11-12,0.68,22.87,14.28,78.75,3.95,88.07073522457357,26.80309155406488
3010,2024-11-13,2024-11-12,2.38,22.87,8.19,83.05,3.63,88.06861487878045,26.890689792229505
5016,2024-11-13,2024-11-12,0.36,27.53,18.47,80.03,4.18,87.55469563773501,26.481414393367597
6003,2024-11-13,2024-11-12,0.14,27.09,18.03,81.93,4.31,87.09771116866489,26.59183604433034
6007,2024-11-13,2024-11-12,0.25,27.28,18.28,81.94,4.06,87.19672555619026,26.560678557062
8001,2024-11-13,2024-11-12,3.24,19.93,9.25,81.29,3.14,87.66115158270199,27.214301572974936
8003,2024-11-13,2024-11-12,2.52,21.31,9.31,86.66,3.59,87.44812726483543,27.127990823175782
8006,2024-11-13,2024-11-12,3.94,19.0,9.9,82.47,3.19,87.58461013054594,27.180400656497696
10009,2024-11-13,2024-11-12,4.3,19.75,6.97,87.1,3.06,86.96602803573023,27.210508417866347
9002,2024-11-13,2024-11-12,0.83,22.56,7.0,83.13,2.59,87.36132449479186,27.30526087303312
9005,2024-11-13,2024-11-12,0.01,22.56,14.53,79.45,2.15,87.19300808673226,27.399039264555437
9007,2024-11-13,2024-11-12,1.02,13.87,-18.63,63.1,4.37,87.22505005780839,27.68477497975171
9009,2024-11-13,2024-11-12,0.37,21.97,2.75,77.28,3.27,87.36166113467456,27.44750334933956
55003,2024-11-13,2024-11-12,0.0,22.18,9.12,85.11,3.76,82.2912715867,28.355548724394996
55004,2024-11-13,2024-11-12,0.0,20.65,9.47,79.15,3.6,82.31179934479863,28.553136288933683
55007,2024-11-13,2024-11-12,0.08,22.18,9.12,84.68,3.59,82.35998258245561,28.25355153233521
55010,2024-11-13,2024-11-12,0.0,22.18,9.12,85.19,3.58,82.231187877201,28.281815065002448
65001,2024-11-13,2024-11-12,0.0,14.59,-4.31,49.73,4.45,82.16814992493904,29.532967936012252
65004,2024-11-13,2024-11-12,0.0,17.87,-0.88,54.61,3.97,81.98372859991967,29.62832292402619
60002,2024-11-13,2024-11-12,0.0,19.34,8.22,83.06,3.14,81.83052510999794,28.792776330356787
60005,2024-11-13,2024-11-12,0.0,21.72,9.97,78.39,4.03,81.60660047963165,28.831816828175175
60006,2024-11-13,2024-11-12,0.0,21.72,8.22,85.06,4.44,81.71925548605671,28.74857272293844
60009,2024-11-13,2024-11-12,0.02,21.72,6.56,77.87,4.44,81.73907018471336,28.861936730765475
57002,2024-11-13,2024-11-12,0.0,26.09,14.81,83.45,4.61,81.7046708193939,28.03063144888017
57005,2024-11-13,2024-11-12,0.0,25.97,11.47,84.85,4.86,81.71918782901814,28.215861098578127
70002,2024-11-13,2024-11-12,0.09,21.84,8.59,84.91,3.62,80.880703235942,29.021621865023427
70005,2024-11-13,2024-11-12,0.02,21.81,8.56,84.49,3.56,80.69908000601693,29.107876876777475
70008,2024-11-13,2024-11-12,0.0,21.4,9.06,73.36,3.12,80.97287803760098,29.373859260489585
70009,2024-11-13,2024-11-12,0.0,21.4,8.59,76.46,2.96,80.81920790381,29.23525727841573
77001,2024-11-13,2024-11-12,0.07,18.34,3.94,75.41,3.76,82.70006219371687,28.546293389302686
77003,2024-11-13,2024-11-12,0.15,18.78,-1.81,63.31,3.81,82.63797688876845,28.730359372964458
54006,2024-11-13,2024-11-12,0.0,18.78,9.47,77.77,3.91,82.42017205323258,28.56459073766825
6010,2024-11-13,2024-11-12,0.24,27.56,14.59,81.78,5.16,87.26501559539872,26.67276280994044
9004,2024-11-13,2024-11-12,2.21,22.56,9.31,86.32,2.01,87.34617049477372,27.20794386380421
9010,2024-11-13,2024-11-12,2.23,21.97,-12.17,72.81,3.98,87.05397323793964,27.56062049796888
11002,2024-11-13,2024-11-12,2.66,17.06,2.31,74.57,3.75,86.69294720202952,27.533318170170038
11003,2024-11-13,2024-11-12,0.91,11.03,-18.63,42.76,6.77,86.72676833996186,27.87754638828359
11004,2024-11-13,2024-11-12,0.16,14.84,3.69,73.15,3.29,86.43720044102864,27.556933846968658
11007,2024-11-13,2024-11-12,3.63,15.87,-10.69,67.42,3.91,86.57187606162067,27.574675587251168
14001,2024-11-13,2024-11-12,0.14,26.22,12.41,82.79,4.67,87.05011302971826,26.82457678669252
14003,2024-11-13,2024-11-12,0.14,27.43,13.47,80.75,4.49,86.3842192552636,26.99895844915385
14004,2024-11-13,2024-11-12,1.74,25.87,12.62,81.63,3.57,86.6712157651011,26.98209297065825
25001,2024-11-13,2024-11-12,1.94,23.22,7.81,85.55,2.98,85.3041092548405,27.484321910898924
25002,2024-11-13,2024-11-12,1.86,18.06,7.81,91.58,2.98,85.33558154743378,27.58455687528972
25003,2024-11-13,2024-11-12,0.88,21.56,7.91,87.58,3.15,85.35024138831888,27.53047639287835
26002,2024-11-13,2024-11-12,0.7,20.4,7.91,84.13,3.29,85.46272408847713,27.696266152604423
26004,2024-11-13,2024-11-12,0.9,18.06,7.91,90.66,2.74,85.42546460420431,27.64927297157717
1003,2024-11-13,2024-11-12,0.74,16.12,-0.97,77.78,3.25,87.54502304960337,27.46546246470642
2007,2024-11-13,2024-11-12,0.61,21.31,11.28,87.32,4.53,87.57900113878084,26.98185352154763
3003,2024-11-13,2024-11-12,1.21,21.31,11.28,84.3,3.52,87.74928052779396,26.965667384057635
3007,2024-11-13,2024-11-12,0.78,24.4,11.28,82.96,3.66,87.72809878982399,26.8319576897196
