municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-14,2024-11-12,1.09,17.43,-16.35,54.76,5.88,87.8971271560144,27.70300872309712
1008,2024-11-14,2024-11-12,0.07,20.18,-13.44,60.45,4.68,87.94650761740047,27.4760167182262
3004,2024-11-14,2024-11-12,1.06,25.56,8.33,80.04,3.98,87.90869872633574,26.9313601153792
3005,2024-11-14,2024-11-12,0.02,27.52,14.64,75.58,4.74,87.86804078949658,26.766798991811797
3008,2024-11-14,2024-11-12,0.05,24.27,14.64,76.65,3.94,88.07073522457357,26.80309155406488
3010,2024-11-14,2024-11-12,0.92,24.27,8.33,79.72,3.9,88.06861487878045,26.890689792229505
5016,2024-11-14,2024-11-12,0.0,28.21,18.08,77.9,5.2,87.55469563773501,26.481414393367597
6003,2024-11-14,2024-11-12,-0.01,27.59,18.03,80.36,6.08,87.09771116866489,26.59183604433034
6007,2024-11-14,2024-11-12,0.0,28.15,18.05,80.84,6.11,87.19672555619026,26.560678557062
8001,2024-11-14,2024-11-12,0.78,20.18,8.92,80.17,3.26,87.66115158270199,27.214301572974936
8003,2024-11-14,2024-11-12,0.49,22.56,8.92,85.25,3.81,87.44812726483543,27.127990823175782
8006,2024-11-14,2024-11-12,0.95,19.49,8.92,84.45,3.57,87.58461013054594,27.180400656497696
10009,2024-11-14,2024-11-12,1.97,20.62,8.05,86.6,3.04,86.96602803573023,27.210508417866347
9002,2024-11-14,2024-11-12,0.15,23.43,7.0,80.08,2.55,87.36132449479186,27.30526087303312
9005,2024-11-14,2024-11-12,0.0,23.43,14.45,74.34,1.99,87.19300808673226,27.399039264555437
9007,2024-11-14,2024-11-12,0.15,15.37,-14.75,53.96,4.68,87.22505005780839,27.68477497975171
9009,2024-11-14,2024-11-12,0.08,22.9,4.24,71.91,3.67,87.36166113467456,27.44750334933956
55003,2024-11-14,2024-11-12,0.0,22.09,9.28,83.74,3.98,82.2912715867,28.355548724394996
55004,2024-11-14,2024-11-12,0.0,20.96,6.95,79.09,4.02,82.31179934479863,28.553136288933683
55007,2024-11-14,2024-11-12,0.0,22.09,9.28,83.19,3.83,82.35998258245561,28.25355153233521
55010,2024-11-14,2024-11-12,0.0,22.09,9.28,84.24,3.86,82.231187877201,28.281815065002448
65001,2024-11-14,2024-11-12,0.0,15.18,-3.57,36.25,4.75,82.16814992493904,29.532967936012252
65004,2024-11-14,2024-11-12,0.0,18.47,-1.2,45.66,3.9,81.98372859991967,29.62832292402619
60002,2024-11-14,2024-11-12,-0.01,20.31,8.22,75.67,3.17,81.83052510999794,28.792776330356787
60005,2024-11-14,2024-11-12,0.0,22.15,8.95,75.61,4.07,81.60660047963165,28.831816828175175
60006,2024-11-14,2024-11-12,-0.01,22.15,8.22,82.89,4.45,81.71925548605671,28.74857272293844
60009,2024-11-14,2024-11-12,-0.01,22.15,7.97,70.22,4.41,81.73907018471336,28.861936730765475
57002,2024-11-14,2024-11-12,0.0,26.4,13.86,82.47,5.24,81.7046708193939,28.03063144888017
57005,2024-11-14,2024-11-12,0.0,26.02,11.47,84.61,4.62,81.71918782901814,28.215861098578127
70002,2024-11-14,2024-11-12,0.0,22.06,8.95,86.34,3.41,80.880703235942,29.021621865023427
70005,2024-11-14,2024-11-12,0.0,21.68,8.56,85.3,3.13,80.69908000601693,29.107876876777475
70008,2024-11-14,2024-11-12,0.0,21.15,9.89,74.14,3.24,80.97287803760098,29.373859260489585
70009,2024-11-14,2024-11-12,0.0,21.15,8.95,78.54,3.09,80.81920790381,29.23525727841573
77001,2024-11-14,2024-11-12,0.01,18.68,4.42,65.68,4.18,82.70006219371687,28.546293389302686
77003,2024-11-14,2024-11-12,0.04,19.4,-1.28,55.13,4.16,82.63797688876845,28.730359372964458
54006,2024-11-14,2024-11-12,0.0,19.4,6.95,75.26,4.07,82.42017205323258,28.56459073766825
6010,2024-11-14,2024-11-12,0.0,27.84,14.78,80.52,5.23,87.26501559539872,26.67276280994044
9004,2024-11-14,2024-11-12,0.42,23.43,9.31,82.84,2.27,87.34617049477372,27.20794386380421
9010,2024-11-14,2024-11-12,1.81,22.9,-10.72,66.42,4.29,87.05397323793964,27.56062049796888
11002,2024-11-14,2024-11-12,0.73,17.56,3.93,68.93,3.53,86.69294720202952,27.533318170170038
11003,2024-11-14,2024-11-12,0.01,11.65,-14.75,28.67,6.68,86.72676833996186,27.87754638828359
11004,2024-11-14,2024-11-12,0.05,15.49,6.47,65.66,2.86,86.43720044102864,27.556933846968658
