municipality_id,rainfall,lat,lon
1001,7.59,87.61937812,27.30957361098937
1002,2.37,87.51328464647683,27.373653174120808
1003,4.11,87.54502304960337,27.46546246470642
1004,28.87,87.62781444693248,27.58355393346229
1005,59.839999999999996,87.89712716,27.70300872309712
1006,2.29,87.71205316042372,27.380969379366448
1007,3.8000000000000003,87.94176471524781,27.35228893058123
1008,3.12,87.94650761740047,27.4760167182262
1009,1.42,87.75250982048634,27.31531966378356
2001,4.8,87.92660750112576,27.173262886257906
2002,8.16,87.73922150127447,27.04964838682459
2003,0.91,87.76269224599203,27.22140668027803
2004,5.17,87.63028104459814,27.068003087371995
2005,2.18,87.62555018795186,26.92427859304281
2006,3.46,87.79937518416166,27.11691535394473
2007,2.58,87.57900113878084,26.98185352154763
2008,4.3100000000000005,87.95146738943218,27.282300413847832
3001,1.0899999999999999,87.72255213521487,26.74752431916676
3002,6.7299999999999995,87.82997454645914,26.92125756359921
3003,9.04,87.74928052779396,26.965667384057635
3004,9.950000000000001,87.90869872633574,26.93136012
3005,1.69,87.86804078949658,26.766798991811797
3006,20.14,88.01254424644482,26.962366143861477
3007,2.2,87.72809878982399,26.8319576897196
3008,1.6300000000000001,88.07073522457357,26.80309155406488
3009,19.19,87.95464821133956,27.050504567102443
3010,8.33,88.06861487878045,26.890689792229505
4001,1.04,87.98432747883031,26.70459995824036
4002,0.16999999999999998,87.92856678890536,26.534545867727772
4003,0.18,88.07431005798985,26.52435499926936
4004,0.16,87.99403362921818,26.608794926564457
4005,1.66,88.06602804025023,26.732539954825288
4006,0.83,87.67667837,26.67300775581935
4007,0.42,87.70501865786001,26.53256108034856
4008,0.21000000000000002,87.7483825,26.464539159856788
4009,0.19,88.00155309067472,26.515698002954625
4010,0.18000000000000002,87.86500217630417,26.51093847398448
4011,0.23,87.99956983020199,26.423716116325423
4012,0.24,87.73517217920993,26.6152474
4013,0.14,87.90559078994245,26.640522601117368
4014,0.47,88.11578776282666,26.675364222106257
4015,0.14,87.82075082,26.61215935145386
5001,0.27,87.43951560345249,26.629695726158744
5002,0.22,87.27721304774124,26.44942190077469
5003,0.18,87.29822489200842,26.561407553771254
5004,0.27,87.40267442076919,26.45679278965447
5005,0.07,87.35548395649823,26.553918328036563
5006,0.28,87.33291808565232,26.405799828431192
5007,0.45999999999999996,87.50047144,26.596507518809087
5008,0.21,87.34336700649065,26.487170971382216
5009,4.0600000000000005,87.40422423604676,26.78591665291982
5010,1.9100000000000001,87.51668327,26.75548719
5011,0.96,87.61238148708986,26.780954253808236
5012,0.8300000000000001,87.56522077992518,26.611891514885453
5013,0.22,87.47026796846225,26.49462262346692
5014,0.38,87.62006582698423,26.47922531020605
5015,0.38,87.34990862584337,26.657538266762003
5016,0.39,87.55469563773501,26.481414393367597
5017,0.84,87.62177023013714,26.64932251452909
6001,0.13,87.13360335819006,26.75477410080033
6002,0.23,87.20604107890271,26.459600158626937
6003,0.15,87.09771116866489,26.59183604433034
6004,0.23,87.15065211842328,26.45252750216687
6005,1.31,87.27450415769975,26.800918886727008
6006,0.26,87.24649830798487,26.554564531771717
6007,0.26,87.19672555619026,26.560678557062
6008,0.27,87.11345967297744,26.49881202682082
6009,0.26,87.16242112661124,26.607116134714808
6010,0.52,87.26501559539872,26.67276280994044
6011,0.08,87.00720038012625,26.567145454816423
6012,0.22,87.18063674146201,26.68763846
6099,0.07,87.02319983992014,26.652566796651616
7001,3.71,87.47507854,26.91421799931033
7002,4.62,87.38795103216115,27.026759403258097
7003,3.88,87.32841682504456,26.983258870629328
7004,0.49,87.21632325962676,26.954918325546917
7005,9.27,87.33013363657919,27.137050385081988
7006,0.9600000000000001,87.25188257150111,27.05254112
7007,2.6799999999999997,87.30747540783123,26.896138108315064
8001,12.49,87.66115158270199,27.214301572974936
8002,4.03,87.47911681846793,27.040390989689293
8003,11.31,87.44812726483543,27.127990823175782
8004,14.65,87.52090029171627,27.244227943940725
8005,12.27,87.52609022651086,27.13878881467572
8006,15.21,87.58461013054594,27.180400656497696
9001,4.95,87.44875977516722,27.759033656562004
9002,3.4,87.36132449479186,27.30526087303312
9003,2.21,87.23194345958684,27.48004549087412
9004,10.04,87.34617049477372,27.20794386380421
9005,1.4,87.19300808673226,27.399039264555437
9006,12.48,87.41564089243285,27.257210959655108
9007,7.4399999999999995,87.22505005780839,27.68477497975171
9008,1.28,87.30718729278416,27.355013380938807
9009,1.22,87.36166113467456,27.44750334933956
9010,27.15,87.05397323793964,27.56062049796888
10001,12.9,87.02139708145575,26.96487109232805
10002,2.49,87.19654383388995,27.189819774277403
10003,24.74,87.05811526,27.201989469109638
10004,2.85,87.1291086,27.0041653621846
10005,2.54,87.14504204633113,27.125404509427533
10006,17.6,87.02136082,27.085255647157496
10007,28.02,87.00329423120539,27.398850025051484
10008,13.99,87.10886920482956,27.330048722434007
10009,27.22,86.96602803573023,27.210508417866347
11001,14.549999999999999,86.69881629251252,27.42991016748501
11002,15.77,86.69294720202952,27.533318170170038
11003,8.12,86.72676833996186,27.87754638828359
11004,3.8200000000000003,86.43720044102864,27.556933846968658
11005,10.43,86.90209004,27.64476767341091
11006,26.47,86.60182755078759,27.38498446708692
11007,26.84,86.57187606162067,27.574675587251168
11008,0.6699999999999999,86.78686523928515,27.496994290942222
12001,6.2299999999999995,86.29148177,27.31032299258719
12002,16.18,86.61450145,27.307383515631575
12003,11.93,86.36239123279094,27.453587147509914
12004,3.34,86.26662439669889,27.38093549228396
12005,0.49,86.46863038474432,27.21720577476797
12006,13.89,86.42803781748671,27.365485320428498
12007,12.47,86.51408131286085,27.32366624120944
12008,3.2199999999999998,86.37243522652642,27.26979472118192
13001,3.78,86.76130239852256,27.37198513504533
13002,2.05,86.82317171803498,26.93509195892428
13003,1.67,86.78878905720744,27.103873921944786
13004,0.8500000000000001,86.60399568211248,27.16672644406009
13005,9.64,86.91389844,26.97349292342656
13006,11.69,86.88405711,27.34486424034932
13007,4.7,86.85060118128214,27.048231223465827
13008,1.9300000000000002,86.71022980874618,27.27882251699089
13009,1.43,86.80263995734717,27.233123514340004
13010,9.85,86.88093282544908,27.17239148140931
14001,0.41000000000000003,87.05011302971826,26.82457678669252
14002,0.26,86.88031164651397,26.80880516614254
14003,0.45,86.38421926,26.99895844915385
14004,5.72,86.67121577,26.98209297065825
14005,5.0200000000000005,86.64094549999608,27.087218183617683
14006,5.04,86.54298513523842,27.07845594409392
14007,0.45,86.69093982065064,26.80698207976648
14008,4.15,86.53654232588379,26.937784016439394
14099,0.17,86.99862376349014,26.715023247720257
15001,0.63,86.79455652439981,26.647173079901396
15002,0.09000000000000001,86.51967002761045,26.57158377325705
15003,0.48,86.67318093267663,26.495468664977547
15004,0.5,86.71791686,26.518689754263782
15005,0.1,86.57145496151483,26.56451815840965
15006,0.22999999999999998,86.73166433,26.462077064999026
15007,0.18,86.63048568920739,26.530245313145805
15008,0.34,86.87631053122443,26.51255533210757
15009,0.36,86.89828417892096,26.63618375537206
15010,0.1,86.60466847048805,26.640824113731234
15011,0.66,86.81575566831532,26.55070770049217
15012,0.6,86.76546037124122,26.535571740647725
15013,0.61,86.72973388043957,26.61272712900791
15014,0.17,86.92737617639665,26.710706762645653
15015,0.25,86.68210676384214,26.63824685142048
15016,0.15,86.53969077,26.69945209286289
15017,0.33,86.80615309942336,26.489563092299186
15018,0.66,86.85344681444376,26.593353956789453
15099,0.07,86.97074749577224,26.642039270072534
16001,0.27,86.28835756602189,26.69619942793309
