municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-12,2024-11-12,7.18,16.08,-17.97,60.18,6.11,87.8971271560144,27.70300872309712
1008,2024-11-12,2024-11-12,0.31,19.3,-17.66,66.46,4.8,87.94650761740047,27.4760167182262
3004,2024-11-12,2024-11-12,0.53,25.36,8.19,79.9,3.54,87.90869872633574,26.9313601153792
3005,2024-11-12,2024-11-12,0.19,27.8,14.28,76.15,4.26,87.86804078949658,26.766798991811797
3008,2024-11-12,2024-11-12,0.34,24.23,14.28,76.32,3.58,88.07073522457357,26.80309155406488
3010,2024-11-12,2024-11-12,0.64,24.23,8.19,80.07,3.31,88.06861487878045,26.890689792229505
5016,2024-11-12,2024-11-12,0.02,28.45,18.81,77.73,4.38,87.55469563773501,26.481414393367597
6003,2024-11-12,2024-11-12,0.02,28.08,18.0,80.24,4.29,87.09771116866489,26.59183604433034
6007,2024-11-12,2024-11-12,0.01,28.14,18.0,80.65,4.34,87.19672555619026,26.560678557062
8001,2024-11-12,2024-11-12,2.08,19.3,9.25,76.53,3.17,87.66115158270199,27.214301572974936
8003,2024-11-12,2024-11-12,2.53,21.36,10.34,83.41,3.53,87.44812726483543,27.127990823175782
8006,2024-11-12,2024-11-12,2.54,18.36,11.93,78.29,3.05,87.58461013054594,27.180400656497696
10009,2024-11-12,2024-11-12,1.55,19.7,6.97,84.37,2.79,86.96602803573023,27.210508417866347
9002,2024-11-12,2024-11-12,1.03,21.92,7.09,81.08,2.36,87.36132449479186,27.30526087303312
9005,2024-11-12,2024-11-12,0.08,21.92,14.53,77.0,2.05,87.19300808673226,27.399039264555437
9007,2024-11-12,2024-11-12,1.19,13.14,-18.63,66.3,4.04,87.22505005780839,27.68477497975171
9009,2024-11-12,2024-11-12,0.12,21.92,2.75,78.52,2.69,87.36166113467456,27.44750334933956
55003,2024-11-12,2024-11-12,0.13,22.3,8.78,85.02,4.54,82.2912715867,28.355548724394996
55004,2024-11-12,2024-11-12,0.1,20.76,9.31,80.52,3.72,82.31179934479863,28.553136288933683
55007,2024-11-12,2024-11-12,0.44,22.3,8.78,84.78,4.41,82.35998258245561,28.25355153233521
55010,2024-11-12,2024-11-12,0.33,22.3,8.78,85.21,4.37,82.231187877201,28.281815065002448
65001,2024-11-12,2024-11-12,0.0,12.61,-4.56,57.45,3.82,82.16814992493904,29.532967936012252
65004,2024-11-12,2024-11-12,0.0,15.83,-0.5,59.48,3.21,81.98372859991967,29.62832292402619
60002,2024-11-12,2024-11-12,0.01,19.33,8.44,86.24,3.12,81.83052510999794,28.792776330356787
60005,2024-11-12,2024-11-12,1.08,21.73,9.97,81.42,4.07,81.60660047963165,28.831816828175175
60006,2024-11-12,2024-11-12,0.34,21.73,8.44,87.27,4.38,81.71925548605671,28.74857272293844
60009,2024-11-12,2024-11-12,0.13,21.73,5.53,83.5,4.34,81.73907018471336,28.861936730765475
57002,2024-11-12,2024-11-12,0.07,26.64,15.72,86.04,4.55,81.7046708193939,28.03063144888017
57005,2024-11-12,2024-11-12,0.18,26.42,14.03,86.72,4.64,81.71918782901814,28.215861098578127
70002,2024-11-12,2024-11-12,0.97,21.64,9.91,79.19,3.88,80.880703235942,29.021621865023427
70005,2024-11-12,2024-11-12,0.24,22.05,9.91,78.01,3.52,80.69908000601693,29.107876876777475
70008,2024-11-12,2024-11-12,0.06,20.86,9.06,74.89,3.14,80.97287803760098,29.373859260489585
70009,2024-11-12,2024-11-12,0.05,20.86,9.47,75.5,3.26,80.81920790381,29.23525727841573
77001,2024-11-12,2024-11-12,0.21,17.48,3.94,74.51,4.26,82.70006219371687,28.546293389302686
77003,2024-11-12,2024-11-12,0.63,18.76,-1.81,68.28,4.02,82.63797688876845,28.730359372964458
54006,2024-11-12,2024-11-12,0.13,18.76,9.31,78.79,4.23,82.42017205323258,28.56459073766825
6010,2024-11-12,2024-11-12,0.23,27.89,14.59,79.2,4.62,87.26501559539872,26.67276280994044
9004,2024-11-12,2024-11-12,2.51,21.83,10.34,85.13,2.1,87.34617049477372,27.20794386380421
9010,2024-11-12,2024-11-12,5.3,21.92,-12.94,73.4,3.66,87.05397323793964,27.56062049796888
11002,2024-11-12,2024-11-12,2.92,15.76,2.19,80.14,3.55,86.69294720202952,27.533318170170038
11003,2024-11-12,2024-11-12,1.66,9.08,-18.63,44.74,7.11,86.72676833996186,27.87754638828359
11004,2024-11-12,2024-11-12,0.22,13.55,3.69,80.0,3.43,86.43720044102864,27.556933846968658
11007,2024-11-12,2024-11-12,5.08,15.05,-10.69,73.0,3.85,86.57187606162067,27.574675587251168
14001,2024-11-12,2024-11-12,0.08,27.76,12.41,79.11,4.27,87.05011302971826,26.82457678669252
14003,2024-11-12,2024-11-12,0.19,28.26,14.47,78.09,4.54,86.3842192552636,26.99895844915385
14004,2024-11-12,2024-11-12,1.12,26.89,13.06,76.71,3.54,86.6712157651011,26.98209297065825
25001,2024-11-12,2024-11-12,0.55,22.86,7.81,83.36,2.99,85.3041092548405,27.484321910898924
25002,2024-11-12,2024-11-12,1.35,17.89,7.81,86.29,2.88,85.33558154743378,27.58455687528972
25003,2024-11-12,2024-11-12,1.28,21.73,7.91,82.82,3.16,85.35024138831888,27.53047639287835
26002,2024-11-12,2024-11-12,0.74,20.3,7.91,79.04,3.34,85.46272408847713,27.696266152604423
26004,2024-11-12,2024-11-12,1.35,17.89,7.91,84.86,3.04,85.42546460420431,27.64927297157717
