municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-20,2024-11-12,6.09,14.67,-23.26,58.51,5.37,87.8971271560144,27.70300872309712
1008,2024-11-20,2024-11-12,0.65,17.64,-18.76,66.14,4.32,87.94650761740047,27.4760167182262
3004,2024-11-20,2024-11-12,0.84,25.45,6.69,71.38,4.75,87.90869872633574,26.9313601153792
3005,2024-11-20,2024-11-12,0.0,27.58,12.57,64.88,5.38,87.86804078949658,26.766798991811797
3008,2024-11-20,2024-11-12,0.0,24.58,12.57,61.39,5.1,88.07073522457357,26.80309155406488
3010,2024-11-20,2024-11-12,0.31,24.58,6.69,67.58,4.56,88.06861487878045,26.890689792229505
5016,2024-11-20,2024-11-12,0.0,27.95,16.07,66.35,4.53,87.55469563773501,26.481414393367597
6003,2024-11-20,2024-11-12,0.0,27.14,15.01,74.01,5.13,87.09771116866489,26.59183604433034
6007,2024-11-20,2024-11-12,0.0,27.27,15.01,73.99,5.26,87.19672555619026,26.560678557062
8001,2024-11-20,2024-11-12,0.1,17.64,7.51,74.8,3.06,87.66115158270199,27.214301572974936
8003,2024-11-20,2024-11-12,1.82,20.24,7.87,74.49,3.88,87.44812726483543,27.127990823175782
8006,2024-11-20,2024-11-12,0.12,16.49,7.87,75.04,3.33,87.58461013054594,27.180400656497696
10009,2024-11-20,2024-11-12,5.56,18.64,5.04,81.11,3.28,86.96602803573023,27.210508417866347
9002,2024-11-20,2024-11-12,0.36,20.8,5.51,72.93,3.14,87.36132449479186,27.30526087303312
9005,2024-11-20,2024-11-12,0.0,20.8,11.73,66.55,3.71,87.19300808673226,27.399039264555437
9007,2024-11-20,2024-11-12,0.61,11.17,-21.77,64.99,3.84,87.22505005780839,27.68477497975171
9009,2024-11-20,2024-11-12,0.06,20.64,1.04,73.51,2.85,87.36166113467456,27.44750334933956
55003,2024-11-20,2024-11-12,0.04,20.42,6.35,76.52,3.63,82.2912715867,28.355548724394996
55004,2024-11-20,2024-11-12,0.0,18.7,5.26,75.38,4.61,82.31179934479863,28.553136288933683
55007,2024-11-20,2024-11-12,0.01,20.42,6.35,76.79,3.65,82.35998258245561,28.25355153233521
55010,2024-11-20,2024-11-12,0.01,20.42,6.35,76.48,3.73,82.231187877201,28.281815065002448
65001,2024-11-20,2024-11-12,0.0,12.27,-6.48,44.93,3.93,82.16814992493904,29.532967936012252
65004,2024-11-20,2024-11-12,0.0,15.52,-3.1,48.4,3.7,81.98372859991967,29.62832292402619
60002,2024-11-20,2024-11-12,0.0,17.8,5.62,68.67,3.48,81.83052510999794,28.792776330356787
60005,2024-11-20,2024-11-12,0.0,20.49,7.46,65.48,4.41,81.60660047963165,28.831816828175175
60006,2024-11-20,2024-11-12,0.0,20.49,5.62,68.5,4.67,81.71925548605671,28.74857272293844
60009,2024-11-20,2024-11-12,0.0,20.49,3.7,68.55,4.61,81.73907018471336,28.861936730765475
57002,2024-11-20,2024-11-12,0.0,22.8,10.96,77.97,3.66,81.7046708193939,28.03063144888017
57005,2024-11-20,2024-11-12,0.0,22.8,9.54,77.59,3.8,81.71918782901814,28.215861098578127
70002,2024-11-20,2024-11-12,0.0,19.86,7.51,60.21,4.22,80.880703235942,29.021621865023427
70005,2024-11-20,2024-11-12,0.0,20.17,7.51,63.28,3.33,80.69908000601693,29.107876876777475
70008,2024-11-20,2024-11-12,0.0,18.86,6.66,62.56,4.27,80.97287803760098,29.373859260489585
70009,2024-11-20,2024-11-12,0.0,18.86,7.51,61.63,3.82,80.81920790381,29.23525727841573
77001,2024-11-20,2024-11-12,0.01,15.55,0.96,72.69,3.87,82.70006219371687,28.546293389302686
77003,2024-11-20,2024-11-12,0.09,17.08,-3.63,65.42,4.4,82.63797688876845,28.730359372964458
54006,2024-11-20,2024-11-12,0.0,17.08,5.26,74.0,5.03,82.42017205323258,28.56459073766825
6010,2024-11-20,2024-11-12,0.0,27.89,13.19,69.18,5.66,87.26501559539872,26.67276280994044
9004,2024-11-20,2024-11-12,1.66,20.8,9.02,73.25,3.74,87.34617049477372,27.20794386380421
9010,2024-11-20,2024-11-12,4.41,20.64,-17.09,72.55,3.83,87.05397323793964,27.56062049796888
